gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,CustomerType,NumInternetServices
Female,0,Yes,No,-1.2773538915070082,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,-1.1602405389153638,-0.9925400532111238,No,Internet only,-0.5617363607765944
Male,0,No,No,0.06632271016745371,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,-0.25961050958946036,-0.17215248615696424,No,Both,-0.02051759347843376
Male,0,No,No,-1.2366364187289942,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,-0.36263460888504345,-0.9579978831789453,Yes,Both,-0.02051759347843376
Male,0,No,No,0.5142149107256077,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),-0.7464824627121354,-0.1936586265026692,No,Internet only,0.5207011738197268
Female,0,No,No,-1.2366364187289942,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.19735122115707743,-0.9388077887166238,Yes,Both,-1.102955128074755
Female,0,No,No,-0.9923315820609102,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.1594633742561515,-0.6437435431735515,Yes,Both,0.5207011738197268
Male,0,No,Yes,-0.4222869631687143,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),0.8088491008469896,-0.14572750550654925,No,Both,-0.02051759347843376
Female,0,No,No,-0.9108966365048822,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,-1.163563896957157,-0.872524761292169,No,Internet only,-0.5617363607765944
Female,0,Yes,No,-0.17798212650063028,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,1.330616313408491,0.3380613931625251,Yes,Both,1.0619199411178875
Male,0,No,Yes,1.2064119479518456,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),-0.2861973739238045,0.5330062838039,No,Both,-0.02051759347843376
Male,0,Yes,Yes,-0.7887442181708402,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,-0.4922455725149705,-0.7465539228159422,No,Both,-0.5617363607765944
Male,0,No,No,-0.6665917998367983,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),-1.522486565470801,-0.8615400865309782,No,Phone only,-1.102955128074755
Male,0,Yes,No,1.0435420568397897,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),1.1827268805487023,1.5005179084025237,No,Both,0.5207011738197268
Male,0,No,No,0.6770848018376636,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),1.294059374948768,1.2160633587633323,Yes,Both,1.0619199411178875
Male,0,No,No,-0.3001345448346723,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,1.353879819701042,0.17924681830193445,No,Both,1.603138708416048
Female,0,Yes,Yes,1.4914342573979436,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),1.6114400679399996,2.477249601374998,No,Both,2.1443574757142088
Female,0,No,No,0.7992372201717056,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,-1.4659894787603203,-0.554432402394311,No,Phone only,-1.102955128074755
Male,0,No,Yes,1.5728692029539715,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),1.3937601162025581,2.25098294735834,No,Both,1.0619199411178875
Female,0,Yes,Yes,-0.9108966365048822,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),-0.3177692753208379,-0.7726259821888892,Yes,Both,-0.02051759347843376
Female,0,No,No,-0.46300443594672824,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,0.8404210022440232,-0.18388711863277452,No,Both,0.5207011738197268
Male,1,No,No,-1.2773538915070082,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,-0.8345514508196499,-0.988216767562141,Yes,Internet only,-0.02051759347843376
Male,0,Yes,No,-0.8294616909488542,Yes,No,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),-1.4942380221155607,-0.9164855179167742,No,Phone only,-1.102955128074755
Male,0,No,No,-1.2773538915070082,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,-1.4826062689692852,-0.996819223700423,Yes,Phone only,-1.102955128074755
Female,0,Yes,No,1.0435420568397897,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),-0.16157144735656692,0.5405720336896198,No,Both,-0.02051759347843376
Male,0,Yes,Yes,0.6770848018376636,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),-0.17154152148194582,0.3046441597022758,No,Both,0.5207011738197268
Female,0,No,No,-0.09654718094460228,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),-0.3144459172790451,-0.33048179426103647,No,Both,-0.02051759347843376
Male,0,Yes,Yes,0.5956498562816357,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.1494933001307723,1.0893866777321692,Yes,Both,0.5207011738197268
Male,0,Yes,Yes,-1.2773538915070082,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,-1.1486087857690883,-0.9923856501522317,Yes,Internet only,-0.5617363607765944
Male,0,Yes,No,1.6135866757319857,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),0.8470677183276092,1.8041846100838779,No,Both,2.1443574757142088
Female,0,No,Yes,-0.6258743270587842,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,-0.0020502613505026797,-0.5234856178763376,Yes,Both,-0.02051759347843376
Female,1,Yes,No,1.5728692029539715,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),1.049792558876982,1.97954236982578,No,Both,1.0619199411178875
Male,1,Yes,No,-1.2366364187289942,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1.021544015521742,-0.9255732408115747,No,Both,0.5207011738197268
Female,0,Yes,Yes,-0.21869959927864427,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,0.046138430255495945,-0.17879181768933058,No,Both,1.0619199411178875
Male,0,No,No,-1.2773538915070082,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),-1.4809445899483886,-0.9967971661205813,No,Phone only,-1.102955128074755
Male,1,No,No,-1.2773538915070082,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),-0.6484434004792416,-0.9857463186198652,No,Both,-1.102955128074755
Female,0,Yes,Yes,1.6135866757319857,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),1.1677717693606342,2.193390606391534,No,Both,1.0619199411178875
Male,0,No,No,-1.114484000394952,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.16411764073914742,-0.8659074873396444,Yes,Both,-1.102955128074755
