SeniorCitizen,tenure,MonthlyCharges,TotalCharges,NumInternetServices,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn_Yes,CustomerType_Internet only,CustomerType_Phone only
0,-1.2773538915070082,-1.1602405389153638,-0.9925400532111238,-0.5617363607765944,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False
0,0.06632271016745371,-0.25961050958946036,-0.17215248615696424,-0.02051759347843376,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False
0,-1.2366364187289942,-0.36263460888504345,-0.9579978831789453,-0.02051759347843376,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,True,False,False
0,0.5142149107256077,-0.7464824627121354,-0.1936586265026692,0.5207011738197268,True,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,True,False
0,-1.2366364187289942,0.19735122115707743,-0.9388077887166238,-1.102955128074755,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
0,-0.9923315820609102,1.1594633742561515,-0.6437435431735515,0.5207011738197268,False,False,False,True,False,True,True,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False
0,-0.4222869631687143,0.8088491008469896,-0.14572750550654925,-0.02051759347843376,True,False,True,True,False,True,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False
0,-0.9108966365048822,-1.163563896957157,-0.872524761292169,-0.5617363607765944,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0,-0.17798212650063028,1.330616313408491,0.3380613931625251,1.0619199411178875,False,True,False,True,False,True,True,False,False,False,True,True,True,True,False,False,True,False,True,False,True,False,False
0,1.2064119479518456,-0.2861973739238045,0.5330062838039,-0.02051759347843376,True,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False
